Zip Code,Now married (except separated); Estimate; Population 15 years and over,Divorced; Estimate; Population 15 years and over,Never married; Estimate; Population 15 years and over
ZCTA5 83860,66.7,10.4,15.6
ZCTA5 83861,53.6,15.9,22.9
ZCTA5 83864,55.4,15.3,22.3
ZCTA5 83866,69.4,30.6,0
ZCTA5 83867,62.8,6.3,25
ZCTA5 83868,51.5,10.8,29.5
ZCTA5 83869,58.9,12,22.1
ZCTA5 83870,35.4,14.6,37.3
ZCTA5 83871,68.5,8.5,18
ZCTA5 83872,72.3,7.6,15.5
ZCTA5 83873,46.2,19.3,28.5
ZCTA5 83874,-,-,-
ZCTA5 83876,57,15.4,23.5
ZCTA5 84001,71.5,5.9,17.7
ZCTA5 84002,75.7,5,17.2
ZCTA5 84003,60.8,6.7,28.3
ZCTA5 84004,68.5,1.9,27.6
ZCTA5 84005,71,5.1,21.2
ZCTA5 84006,44.1,7.9,32.5
ZCTA5 84007,71.1,4.4,22.3
ZCTA5 84010,58.2,9.1,26.3
ZCTA5 84013,58.7,6.1,30.9
ZCTA5 84014,62,8.9,23.3
ZCTA5 84015,58.2,10.4,26.5
ZCTA5 84017,67.7,8.3,20.4
ZCTA5 84018,100,0,0
ZCTA5 84020,62.8,7.6,26.1
ZCTA5 84021,61.6,10.8,20.1
ZCTA5 84022,70,5,21.6
ZCTA5 84023,87.9,5.2,5.2
ZCTA5 84024,58.3,0,41.7
ZCTA5 84025,64.6,8.6,24.4
ZCTA5 84026,31.5,10.4,51.4
ZCTA5 84027,61.5,24.4,5.3
ZCTA5 84028,44,2.2,25
ZCTA5 84029,57.5,12.3,25.2
ZCTA5 84031,61.3,0,37.6
ZCTA5 84032,60.7,7.6,28.4
ZCTA5 84033,66.5,5.3,26.6
ZCTA5 84034,37.3,12.7,34.5
ZCTA5 84035,92.6,0,0
ZCTA5 84036,63.2,6.7,24.5
ZCTA5 84037,66.8,5.6,24.1
ZCTA5 84038,85.1,4.6,8.7
ZCTA5 84039,57.8,7.2,30.5
ZCTA5 84040,63,7.4,25.6
ZCTA5 84041,59.7,9.1,26.8
ZCTA5 84042,60.2,6.8,29.3
ZCTA5 84043,69,5.4,23.1
ZCTA5 84044,50.5,11.7,31.7
ZCTA5 84045,70.4,5,22.1
ZCTA5 84046,55.5,10,28.5
ZCTA5 84047,46.4,14,32.9
ZCTA5 84049,67,9.8,17.4
ZCTA5 84050,72,4.6,21
ZCTA5 84051,80.6,0,17.9
ZCTA5 84052,64.3,8.1,24.1
ZCTA5 84053,64.6,8.1,19.8
ZCTA5 84054,62,9.1,25
ZCTA5 84055,73.5,6.7,15.6
ZCTA5 84056,70,3.9,25.9
ZCTA5 84057,55.5,6.5,32.9
ZCTA5 84058,54,7.4,35.3
ZCTA5 84060,56.5,7,32.7
ZCTA5 84061,66.6,18.8,4.1
ZCTA5 84062,59.5,5.8,30.3
ZCTA5 84063,50.9,7.5,34.1
ZCTA5 84064,57.7,7.9,26
ZCTA5 84065,62,8.5,26
ZCTA5 84066,60,8.9,25.8
ZCTA5 84067,55.5,13,25.8
ZCTA5 84069,61.1,12.7,20.2
ZCTA5 84070,50.3,12.4,29.2
ZCTA5 84071,65.8,12,17.9
ZCTA5 84072,65.4,7.3,17.7
ZCTA5 84073,71.1,2.9,16.8
ZCTA5 84074,58.7,10.4,25.5
ZCTA5 84075,68.7,6.3,22.8
ZCTA5 84076,55.9,1.4,40.4
ZCTA5 84078,52.6,13,28.6
ZCTA5 84080,60.6,3.2,29.9
ZCTA5 84081,57.7,9.5,28.1
ZCTA5 84082,69.5,5.5,23.8
ZCTA5 84083,36.1,8.3,46.9
ZCTA5 84084,54.9,10,29.7
ZCTA5 84085,44.9,20.5,28.4
ZCTA5 84086,57.6,8.8,32.3
ZCTA5 84087,63.8,6.1,27.3
ZCTA5 84088,54.2,10.8,30.4
ZCTA5 84092,64.4,7,25.1
ZCTA5 84093,65.4,8.1,21.5
ZCTA5 84094,55.5,10.8,27.4
ZCTA5 84095,65.4,8.1,23.1
ZCTA5 84096,65.3,7.4,23.4
ZCTA5 84097,63.3,4.9,27.4
ZCTA5 84098,63.7,8.9,24.9
ZCTA5 84101,28.3,15.9,49.4
ZCTA5 84102,26.2,9,60.6
ZCTA5 84103,41.9,11,42.1
ZCTA5 84104,44.4,10.4,37.2
ZCTA5 84105,46,12,38.3
ZCTA5 84106,45.6,11.3,36.1
ZCTA5 84107,43,13.7,35.4
ZCTA5 84108,63.6,5.9,27.2
ZCTA5 84109,57.1,9.6,27.7
ZCTA5 84111,24.6,18.2,49.2
ZCTA5 84112,13.4,1.6,82.8
ZCTA5 84113,28.6,0,51
ZCTA5 84115,38.6,13.4,39.2
ZCTA5 84116,44,9.3,39.2
ZCTA5 84117,50.7,12.4,27.7
ZCTA5 84118,53.1,10.4,31
ZCTA5 84119,41.8,12.7,37.5
ZCTA5 84120,49.2,10,33.5
ZCTA5 84121,57.1,11.9,24.9
ZCTA5 84123,47.6,13.8,31.4
ZCTA5 84124,57.9,9.3,26.5
ZCTA5 84128,55.1,7.4,33.1
ZCTA5 84144,37.7,16.6,45.7
ZCTA5 84180,-,-,-
ZCTA5 84301,66.8,7.2,19.5
ZCTA5 84302,61.4,9.5,23.4
ZCTA5 84304,-,-,-
ZCTA5 84305,62.7,5.3,27.2
ZCTA5 84306,81.8,5,13.2
ZCTA5 84307,61.9,8.6,22.8
ZCTA5 84308,52.8,17.4,27.7
ZCTA5 84309,61.6,12.8,19.3
ZCTA5 84310,65,11.5,20
ZCTA5 84311,66.7,8.4,15.9
ZCTA5 84312,66.8,7.5,21.4
ZCTA5 84313,80.6,0,19.4
ZCTA5 84314,60.2,5.7,29.2
ZCTA5 84315,71.3,4.9,20.3
ZCTA5 84316,71.8,5.3,18
ZCTA5 84317,66.6,10.1,18.6
ZCTA5 84318,59.5,5.4,31.4
ZCTA5 84319,62.8,7,27.2
ZCTA5 84320,63.9,6.7,24.2
ZCTA5 84321,47.6,6.7,42.7
ZCTA5 84324,66.2,10.6,16.8
ZCTA5 84325,70.7,4.7,20.8
ZCTA5 84326,67.2,5,24.7
ZCTA5 84327,69.5,5.1,19.6
ZCTA5 84328,68.1,6.6,22.1
ZCTA5 84329,100,0,0
ZCTA5 84330,77.5,7.6,9.2
ZCTA5 84331,67.6,8.8,17.2
ZCTA5 84332,65.1,6.8,22.8
ZCTA5 84333,59.7,9.3,22.3
ZCTA5 84334,74.3,6.3,19.4
ZCTA5 84335,65.5,5.1,25.2
ZCTA5 84336,56.6,9.4,33
ZCTA5 84337,65.4,6.6,23
ZCTA5 84338,67.8,9.3,18.3
ZCTA5 84339,65,5.2,27.2
ZCTA5 84340,66.5,7.5,21.8
ZCTA5 84341,54.3,5.4,36.2
ZCTA5 84401,43.4,14.5,35.2
ZCTA5 84403,53.7,10.5,30
ZCTA5 84404,53.2,13.2,28
ZCTA5 84405,54.4,11.6,26.5
ZCTA5 84414,65.8,6.4,24.4
ZCTA5 84501,53.7,13.2,25.2
ZCTA5 84511,52.4,8.8,30
ZCTA5 84512,49.2,2.1,38.4
ZCTA5 84513,59.1,13.9,20.4
ZCTA5 84515,-,-,-
ZCTA5 84516,89.6,5.6,3.5
ZCTA5 84518,65.1,5.2,23.5
ZCTA5 84520,40,23.8,24.4
ZCTA5 84521,63.1,7.9,21.7
ZCTA5 84522,65.9,7.6,20
ZCTA5 84523,67.4,8.4,15
ZCTA5 84525,54.1,6.2,27
ZCTA5 84526,51.6,15.5,23
ZCTA5 84528,61.5,7.5,24.8
ZCTA5 84529,31,55.1,0
ZCTA5 84530,34.1,62.8,0
ZCTA5 84531,26.8,0.5,66.6
ZCTA5 84532,55.5,14.6,19.4
ZCTA5 84533,39.6,0,60.4
ZCTA5 84534,33.1,6.1,53.2
ZCTA5 84535,59.7,8.2,27.3
ZCTA5 84536,36,1,58.8
ZCTA5 84537,72,4.9,18.8
ZCTA5 84539,46.3,22.4,21.7
ZCTA5 84540,34.8,0,65.2
ZCTA5 84542,57.3,13.9,20.9
ZCTA5 84601,55.8,8.4,31.4
ZCTA5 84604,46.3,3.5,47.2
ZCTA5 84606,39,3.6,55.5
ZCTA5 84620,77.7,2.6,15.7
ZCTA5 84621,43.7,11.5,35.6
ZCTA5 84622,66,6.7,20.3
ZCTA5 84623,80.1,0,19.9
ZCTA5 84624,68.8,6.3,18.7
ZCTA5 84626,62.1,9.2,28.7
ZCTA5 84627,47.5,6.2,42.6
ZCTA5 84628,58.5,14.3,15.9
ZCTA5 84629,69.2,3.9,22.8
ZCTA5 84630,75.2,4.1,14.6
ZCTA5 84631,59.8,7.6,24.8
ZCTA5 84632,63.4,6.8,20.7
ZCTA5 84633,66.3,5,24.2
ZCTA5 84634,30.9,17.4,46.8
ZCTA5 84635,66.3,14.4,14.4
ZCTA5 84636,65,9.9,15
ZCTA5 84637,66.8,4.1,25
ZCTA5 84638,73.8,7.6,10.2
ZCTA5 84639,62.7,8.8,17.7
ZCTA5 84640,56.4,3.8,19.2
ZCTA5 84642,67.2,6.1,22.7
ZCTA5 84643,75.6,6.8,11.9
ZCTA5 84645,59.1,2,32.9
ZCTA5 84646,69.2,8,17.5
ZCTA5 84647,58.8,6.8,28.5
ZCTA5 84648,58.9,9.8,25.4
ZCTA5 84649,80.9,2.4,15.7
ZCTA5 84651,59.6,7.1,28.6
ZCTA5 84652,58.8,10.5,25.8
ZCTA5 84653,66.6,4.9,24.4
ZCTA5 84654,60.8,10.2,21.9
ZCTA5 84655,64,5.8,26.9
ZCTA5 84656,70.1,8,11.3
ZCTA5 84657,65.3,8.2,17.5
ZCTA5 84660,63.3,7.2,26.1
ZCTA5 84662,74.3,3.4,17.1
ZCTA5 84663,62.6,7.2,26.1
ZCTA5 84664,65.5,3.2,28.3
ZCTA5 84665,42.4,23.4,25.7
ZCTA5 84667,69.6,3.9,24.7
ZCTA5 84701,57.2,11.8,23.6
ZCTA5 84710,72.5,1.1,18.7
ZCTA5 84711,70.6,4.1,20.2
ZCTA5 84712,70.2,16.8,2.3
ZCTA5 84713,61.8,8.4,19.5
ZCTA5 84714,53.4,17.7,15.9
ZCTA5 84715,79.3,8.5,4.8
ZCTA5 84716,68,7.3,23.5
ZCTA5 84718,38.2,5.9,43.3
ZCTA5 84719,44.4,9.7,40.3
ZCTA5 84720,48.4,7.8,38.7
ZCTA5 84721,59,9.8,26.2
ZCTA5 84722,70.9,14.6,9.3
ZCTA5 84723,50.1,5.7,28.3
ZCTA5 84724,65.5,12.9,12.8
ZCTA5 84725,72.2,5.1,20.5
ZCTA5 84726,62.8,11,18.3
ZCTA5 84728,48.1,29.6,22.2
ZCTA5 84729,69.8,3.9,22
ZCTA5 84730,78.6,3.1,14
ZCTA5 84731,63.1,0,36.9
ZCTA5 84732,86.1,0,0
ZCTA5 84733,88.7,0,11.3
ZCTA5 84734,44.1,20.2,28.6
ZCTA5 84735,60.3,9.2,13.8
ZCTA5 84736,66.5,5.7,18.4
ZCTA5 84737,59.1,11.4,23.5
ZCTA5 84738,67,10.2,17.1
ZCTA5 84739,56.7,7,31.1
ZCTA5 84740,50,3.8,28.8
ZCTA5 84741,46.5,17.3,25.7
ZCTA5 84742,84.8,4.3,8.5
ZCTA5 84743,47.1,0,5.9
ZCTA5 84744,63.3,3.1,30.8
ZCTA5 84745,51.7,16,24.2
ZCTA5 84746,67.6,7.6,16.1
ZCTA5 84747,55.2,13.6,27.7
ZCTA5 84749,68.5,7.1,18.1
ZCTA5 84750,53.6,10.9,27.7
ZCTA5 84751,59.6,14.8,19.8
ZCTA5 84752,60.3,11.5,23.1
ZCTA5 84753,28.6,0,28.6
ZCTA5 84754,68,7.6,18.1
ZCTA5 84755,76,0,12
ZCTA5 84756,80.9,3.6,10.7
ZCTA5 84757,69.4,4.6,21.6
ZCTA5 84758,57.1,3.1,32.2
ZCTA5 84759,60.7,8.5,22
ZCTA5 84760,54.9,7,20
ZCTA5 84761,57,8.3,23.3
ZCTA5 84762,84.5,0,10.2
ZCTA5 84763,46.6,17.6,27.2
ZCTA5 84764,47.8,8.3,41.7
ZCTA5 84765,67.5,6.8,24.4
ZCTA5 84766,30.7,3.4,65.9
ZCTA5 84767,43,10,40.9
ZCTA5 84770,53.7,12.1,26.8
ZCTA5 84772,57.2,0,21.1
ZCTA5 84773,63.8,5.7,13.8
ZCTA5 84774,72.4,6.7,14.5
ZCTA5 84775,70,11.8,11
ZCTA5 84776,64.4,3.4,25.8
ZCTA5 84779,56.4,7.9,30.9
ZCTA5 84780,65.9,7.3,20.5
ZCTA5 84781,74.8,0,20.8
ZCTA5 84782,72.9,12.2,12.4
ZCTA5 84783,74.6,11.3,8
ZCTA5 84784,34,4.7,57.9
ZCTA5 84790,59,8.8,23.7
ZCTA5 85003,29.9,15.9,47.1
ZCTA5 85004,14.2,15.5,63.5
ZCTA5 85006,30.6,12.2,49.3
ZCTA5 85007,32.5,11.1,47.9
ZCTA5 85008,30.5,10.9,52.1
ZCTA5 85009,33.2,8.7,50.1
ZCTA5 85012,40.9,17.6,35.4
ZCTA5 85013,35.1,14.6,45.2
ZCTA5 85014,29,17.2,47.1
ZCTA5 85015,33.5,15.2,44
ZCTA5 85016,37,15.9,41.1
ZCTA5 85017,36.1,10.9,46.6
ZCTA5 85018,39.4,14.5,39.8
ZCTA5 85019,37.1,8.7,48
ZCTA5 85020,38.5,19.3,33.7
ZCTA5 85021,37.7,12.9,41.6
ZCTA5 85022,41.3,16.8,34.5
ZCTA5 85023,48,13.3,31.6
ZCTA5 85024,48.1,15.7,31.5
ZCTA5 85027,46.2,15.6,31.9
ZCTA5 85028,54.7,12.3,24.7
ZCTA5 85029,38.2,16.3,37.4
ZCTA5 85031,32.3,9.2,51.6
ZCTA5 85032,42.1,15.6,35.8
ZCTA5 85033,40.5,9.9,43.4
ZCTA5 85034,27.8,15.3,50.8
ZCTA5 85035,36.7,9.3,47
ZCTA5 85037,43.5,11.4,39.5
ZCTA5 85040,31.1,10.8,49
ZCTA5 85041,41.1,8.9,43.6
ZCTA5 85042,39.7,10.8,42.8
ZCTA5 85043,42.2,9.7,42.5
ZCTA5 85044,48.2,14.2,31.7
ZCTA5 85045,60.1,6.7,29.9
ZCTA5 85048,53.5,12,30.3
ZCTA5 85050,56.7,11.9,26
ZCTA5 85051,38,14.9,38.7
ZCTA5 85053,41.1,14.6,37.7
ZCTA5 85054,42.1,15.4,36.9
ZCTA5 85083,64.2,9.5,20.5
ZCTA5 85085,57.8,10.8,27.5
ZCTA5 85086,62.3,9.4,22.3
ZCTA5 85087,62.8,9.7,21
ZCTA5 85118,68.6,10.5,12.9
ZCTA5 85119,53.6,17.3,21.3
ZCTA5 85120,47.9,17.2,23.3
ZCTA5 85121,22.1,6.7,64.1
ZCTA5 85122,44.4,14.3,33.4
ZCTA5 85123,42.5,19.4,29.4
ZCTA5 85128,39.2,14.1,35.3
ZCTA5 85131,26.5,15.5,51.9
ZCTA5 85132,34.5,18.8,40.6
ZCTA5 85135,44.1,18.7,24.9
ZCTA5 85137,46.7,13.4,32.5
ZCTA5 85138,54.6,10.2,30.4
ZCTA5 85139,50.9,12.1,30.8
ZCTA5 85140,54.1,8.4,32.6
ZCTA5 85141,47.2,16.9,27.4
ZCTA5 85142,59.3,8.9,27.8
ZCTA5 85143,54,11,29.3
ZCTA5 85145,57.2,7.5,31.3
ZCTA5 85147,21.8,9.7,61
ZCTA5 85172,50.9,4.9,39.9
ZCTA5 85173,37.3,21.8,26.5
ZCTA5 85192,46.4,12.7,32.7
ZCTA5 85193,50,9.2,33.2
ZCTA5 85194,61.8,10.2,20
ZCTA5 85201,34.8,13,44.7
ZCTA5 85202,38.1,12.6,44.9
ZCTA5 85203,45.4,11.2,37.3
ZCTA5 85204,42.8,12.5,38.4
ZCTA5 85205,48.2,16.4,24.3
ZCTA5 85206,47.3,15.6,25.5
ZCTA5 85207,54.6,11.7,26.9
ZCTA5 85208,50,13.9,24.8
ZCTA5 85209,59.3,10.1,22.6
ZCTA5 85210,38.4,13.7,42.8
ZCTA5 85212,60.7,6.3,29
ZCTA5 85213,51.3,12.1,29.8
ZCTA5 85215,59.2,12.7,18.2
ZCTA5 85224,44.1,14.1,36.7
ZCTA5 85225,42.7,12.6,37.9
ZCTA5 85226,52.5,11,31.8
ZCTA5 85233,51.4,11.9,32.8
ZCTA5 85234,55.8,10.5,29.8
ZCTA5 85248,68.3,7.6,14.6
ZCTA5 85249,66.8,6.7,20.8
ZCTA5 85250,44.7,17.6,29.9
ZCTA5 85251,35.7,14.8,42.5
ZCTA5 85253,63.3,8.8,21.1
ZCTA5 85254,57.4,9.9,26.3
ZCTA5 85255,65.9,9.5,19.3
ZCTA5 85256,36.2,12.2,40.3
ZCTA5 85257,33.9,13.9,44
ZCTA5 85258,57.1,14.5,19.5
ZCTA5 85259,59.2,10.4,25.7
ZCTA5 85260,49.5,15.2,27.5
ZCTA5 85262,70.9,10.6,12.2
ZCTA5 85263,86.5,5.7,3.4
ZCTA5 85264,30.6,18.9,38.1
ZCTA5 85266,75.8,7.7,12.1
ZCTA5 85268,63.1,13.5,15.9
ZCTA5 85281,15.6,7.3,74.3
ZCTA5 85282,33.1,13.8,47.2
ZCTA5 85283,37.7,12,44.4
ZCTA5 85284,60,9.9,25.9
ZCTA5 85286,56.7,10.4,28.6
ZCTA5 85295,55.4,10,30.3
ZCTA5 85296,55.8,11.8,28.6
ZCTA5 85297,59.1,10.3,27.6
ZCTA5 85298,69.2,6.3,20
ZCTA5 85301,33.6,13.4,43
ZCTA5 85302,40.3,13.9,38
ZCTA5 85303,42.9,10.6,40
ZCTA5 85304,47.5,13.2,31.6
ZCTA5 85305,42.7,13.5,37.5
ZCTA5 85306,44.8,13.3,34.8
ZCTA5 85307,50.5,9.4,33.3
ZCTA5 85308,51.7,12.4,30
ZCTA5 85309,2.4,0,97.6
ZCTA5 85310,57.1,11.5,27.4
ZCTA5 85320,57.9,5,33.3
ZCTA5 85321,39.7,10.1,38.6
ZCTA5 85322,55.6,10.1,30.1
ZCTA5 85323,42.1,12,39.4
ZCTA5 85324,36.2,19.4,25.3
ZCTA5 85325,57.2,19.1,11.8
ZCTA5 85326,45.5,11.6,36.6
ZCTA5 85328,50.3,28.3,14.2
ZCTA5 85331,65.4,10.7,19.1
ZCTA5 85332,64.7,6.9,11.9
ZCTA5 85333,49,12.1,29.3
ZCTA5 85334,45.5,16.5,22.3
ZCTA5 85335,45.4,14.4,34.5
ZCTA5 85336,55.4,8.1,23.6
ZCTA5 85337,50.7,12.6,30.3
ZCTA5 85338,56.6,8.9,30.2
ZCTA5 85339,46.8,10.3,37.1
ZCTA5 85340,57.1,10,26.8
ZCTA5 85341,-,-,-
ZCTA5 85342,60.6,12.9,14.9
ZCTA5 85343,61.6,0,38.4
ZCTA5 85344,43.2,13,33.5
ZCTA5 85345,44.1,15.6,32.3
ZCTA5 85346,71,4.8,9.5
ZCTA5 85347,56.4,7.8,32.5
ZCTA5 85348,72,9.7,8.3
ZCTA5 85349,57,4.9,31.6
ZCTA5 85350,46.4,6.2,39.4
ZCTA5 85351,53.8,16.4,7.8
ZCTA5 85352,58.5,2.6,34.3
ZCTA5 85353,48,9.7,37.2
ZCTA5 85354,52.1,13,28.3
ZCTA5 85355,56.7,11.7,26.2
ZCTA5 85356,59.3,9.1,22.3
ZCTA5 85357,54.3,15.9,19.5
ZCTA5 85360,63.3,16.6,7.7
ZCTA5 85361,53.4,14.7,26.5
ZCTA5 85362,63.4,21.6,4.4
ZCTA5 85363,38.7,19,31.8
ZCTA5 85364,50.2,9.8,32
ZCTA5 85365,59.4,8,24.7
ZCTA5 85367,65.9,10.2,11.7
ZCTA5 85371,26.2,6.5,48.7
ZCTA5 85373,62.3,10.8,12.1
ZCTA5 85374,57.7,12.6,19.2
ZCTA5 85375,65.1,10.7,5.1
ZCTA5 85377,69.4,8.7,12.6
ZCTA5 85379,54.9,11.7,29.2
ZCTA5 85381,48,13,30.7
ZCTA5 85382,53,13.2,24.6
ZCTA5 85383,64.5,9,22.1
ZCTA5 85387,70.9,8.1,12.8
ZCTA5 85388,61.4,9.8,24.3
ZCTA5 85390,57.7,14,16.7
ZCTA5 85392,49.8,11.8,33.8
ZCTA5 85395,59.7,7.9,25.3
ZCTA5 85396,68.7,8.5,18.4
ZCTA5 85501,46.6,15.2,27.9
ZCTA5 85530,26.9,5.2,55.3
ZCTA5 85531,75.1,2.4,12.7
ZCTA5 85533,50.5,8.3,29.3
ZCTA5 85534,49.9,12.4,26.3
ZCTA5 85535,-,-,-
ZCTA5 85536,67,2.7,24.7
ZCTA5 85539,43.3,16.3,32
ZCTA5 85540,48.6,19.9,29.6
ZCTA5 85541,59.3,14.9,16.5
ZCTA5 85542,28.1,7.9,59.5
ZCTA5 85543,50.3,13.8,27.7
ZCTA5 85544,62.3,14.2,14.4
ZCTA5 85545,49.3,14.2,15.2
ZCTA5 85546,42.6,14.2,34.5
ZCTA5 85550,31.4,13.3,48.4
ZCTA5 85551,50.7,1.4,44.7
ZCTA5 85552,53,7.5,33.1
ZCTA5 85553,53.4,22.1,11.5
ZCTA5 85554,51.4,23.4,14.2
ZCTA5 85601,58.1,15.8,15.4
ZCTA5 85602,50.7,16.3,22.8
ZCTA5 85603,42.5,21,24.6
ZCTA5 85605,60.6,10.2,19.4
ZCTA5 85606,56.7,25.1,11.3
ZCTA5 85607,44.1,9.6,37.9
ZCTA5 85608,14.3,17.8,65.7
ZCTA5 85609,68.4,14.3,10.4
ZCTA5 85610,63.4,16.5,12.2
ZCTA5 85611,70.5,8.1,12.1
ZCTA5 85613,50.6,3,44.1
ZCTA5 85614,65.2,11.9,8.3
ZCTA5 85615,66.3,10.8,17.2
ZCTA5 85616,48.2,19,23.8
ZCTA5 85617,51.2,20.1,18.1
ZCTA5 85618,40.8,14.4,28.6
ZCTA5 85619,80.6,0,19.4
ZCTA5 85620,56.8,11,18.6
ZCTA5 85621,44.8,11.7,33.3
ZCTA5 85622,76.2,7.9,3.3
ZCTA5 85623,63,10.7,17
ZCTA5 85624,56.6,12.1,20.9
ZCTA5 85625,58.6,13,14.1
ZCTA5 85626,36,14.6,43.8
ZCTA5 85627,63.2,10.9,20.7
ZCTA5 85629,61.6,11.3,23.3
ZCTA5 85630,58.9,11.3,18.7
ZCTA5 85631,37.2,23.6,28.6
ZCTA5 85632,59.7,12.9,20.2
ZCTA5 85633,32.6,4.3,50
ZCTA5 85634,24.4,8.5,59.1
ZCTA5 85635,52.7,13,24.6
ZCTA5 85637,57,13.6,21.8
ZCTA5 85638,54.3,14.5,15.2
ZCTA5 85640,83.1,8.1,8.9
ZCTA5 85641,67.4,7.1,20.9
ZCTA5 85643,55.5,11.2,26.7
ZCTA5 85645,51,9.9,26
ZCTA5 85646,67.5,8.3,9.9
ZCTA5 85648,52.7,9.4,32.8
ZCTA5 85650,66.6,8.8,16.4
ZCTA5 85653,51.3,13,28.7
ZCTA5 85654,0,34.2,65.8
ZCTA5 85658,75.5,9.5,10.4
ZCTA5 85701,29.8,11.5,52.9
ZCTA5 85704,48.4,13.8,28.2
ZCTA5 85705,29.9,17.1,44.4
ZCTA5 85706,37.8,13.6,40.2
ZCTA5 85707,0.9,1.4,97.6
ZCTA5 85708,87.9,3.3,8.8
ZCTA5 85710,38.6,16.1,34.7
ZCTA5 85711,39.7,15.5,37.9
ZCTA5 85712,31.5,18.4,40.1
ZCTA5 85713,36,16.6,37.5
ZCTA5 85714,34.9,12.9,40.7
ZCTA5 85715,49.2,14,28.2
ZCTA5 85716,29.8,18.8,44.2
ZCTA5 85718,56.6,10.5,25.3
ZCTA5 85719,17.6,7.6,71.1
ZCTA5 85723,-,-,-
ZCTA5 85724,-,-,-
ZCTA5 85726,-,-,-
ZCTA5 85730,43.1,15.1,33.5
ZCTA5 85735,51.7,13.5,25.8
ZCTA5 85736,47.3,17.3,27.3
ZCTA5 85737,60.8,9.8,22.9
ZCTA5 85739,67.8,10.6,13
ZCTA5 85741,46.7,15.3,32.3
ZCTA5 85742,55.6,12.2,26.1
ZCTA5 85743,59.5,10.8,24
ZCTA5 85745,40.8,12.6,39.8
ZCTA5 85746,43.1,10.5,38.6
ZCTA5 85747,56.7,10.2,28.4
ZCTA5 85748,53.7,12.8,27.2
ZCTA5 85749,67,8.1,19.2
ZCTA5 85750,58.4,10.4,23.5
ZCTA5 85755,69,7.7,15.9
ZCTA5 85756,41.4,11.9,39.9
ZCTA5 85757,40,13.5,40.2
ZCTA5 85901,53.5,15.7,22.1
ZCTA5 85911,31.2,7.5,56.5
ZCTA5 85912,38.8,6.8,29.3
ZCTA5 85920,70.8,5.2,18.2
ZCTA5 85922,49.1,11.3,7.5
ZCTA5 85923,45.5,25.6,28.9
ZCTA5 85924,49.7,16.2,17.8
ZCTA5 85925,53.6,14.8,25.4
ZCTA5 85926,56.7,2,33.2
ZCTA5 85927,82.6,17.4,0
ZCTA5 85928,68.9,14.1,11.6
ZCTA5 85929,56.9,13.1,22.3
ZCTA5 85930,34.1,12.8,48.4
ZCTA5 85931,54,18.4,12.9
ZCTA5 85932,58.2,13.3,18.8
ZCTA5 85933,62.9,13.5,15.2
ZCTA5 85934,63.3,23.7,11.3
ZCTA5 85935,61.3,12.9,16.5
ZCTA5 85936,43.3,17.8,33.7
ZCTA5 85937,58.3,12.1,22.3
ZCTA5 85938,48.9,15.1,26.9
ZCTA5 85939,48.5,14.1,24.6
ZCTA5 85940,65.2,16.5,11
ZCTA5 85941,36.2,10.6,45.8
ZCTA5 85942,69.3,0,0
ZCTA5 86001,37.3,10.6,49
ZCTA5 86003,0,100,0
ZCTA5 86004,49.8,13.9,32.8
ZCTA5 86011,0.9,0,99.1
ZCTA5 86015,22.2,22,42.1
ZCTA5 86016,0,7.7,61.5
ZCTA5 86017,59.8,20.9,19.4
ZCTA5 86018,59.2,20.1,11.1
ZCTA5 86020,28,5.3,56.9
ZCTA5 86021,33.7,5.8,56.8
ZCTA5 86022,44.7,14,34.1
ZCTA5 86023,28.3,12,55.8
ZCTA5 86024,81.1,6.8,5.8
ZCTA5 86025,40.4,15.2,36.9
ZCTA5 86028,-,-,-
ZCTA5 86029,50.3,4.1,26.2
ZCTA5 86030,34.8,8.5,46.8
ZCTA5 86031,34.1,7.3,47.5
ZCTA5 86032,49.6,13.2,30.5
ZCTA5 86033,32.3,2.2,61.4
ZCTA5 86034,33.5,9.8,46.5
ZCTA5 86035,39.7,7.1,42.6
ZCTA5 86036,51.8,11.4,31.9
ZCTA5 86038,-,-,-
ZCTA5 86039,32.3,13,45
ZCTA5 86040,42.8,6.6,47
ZCTA5 86042,31.4,8.2,50.6
ZCTA5 86043,24.8,10.4,52.5
ZCTA5 86044,35.7,4.4,47.2
ZCTA5 86045,32,9.4,50
ZCTA5 86046,61.9,10.8,18.9
ZCTA5 86047,32.1,11.2,47.8
ZCTA5 86052,0,11,66.5
ZCTA5 86053,37.8,5.1,48.7
ZCTA5 86054,37.1,6.8,43
ZCTA5 86301,51.3,12.9,25
ZCTA5 86303,56.1,15.6,19.3
ZCTA5 86305,63.7,10.3,18.4
ZCTA5 86313,9.8,14.7,64.9
ZCTA5 86314,50.9,16.1,25.4
ZCTA5 86315,66.1,11.9,16.6
ZCTA5 86320,53.2,11.2,24.1
ZCTA5 86321,63.5,6.7,25.6
ZCTA5 86322,46.6,14.5,27.4
ZCTA5 86323,55.4,18,19.7
ZCTA5 86324,57.6,17.9,10.7
ZCTA5 86325,57.7,14.2,14
ZCTA5 86326,45.6,16.7,26.7
ZCTA5 86327,62.5,12.5,14.3
ZCTA5 86329,62.9,12.4,21.2
ZCTA5 86331,33.2,22.2,16
ZCTA5 86332,60.8,16.1,17.3
ZCTA5 86333,43.5,16.6,30.4
ZCTA5 86334,58,11.9,18.3
