Zip Code,Now married (except separated); Estimate; Population 15 years and over,Divorced; Estimate; Population 15 years and over,Never married; Estimate; Population 15 years and over
ZCTA5 01531,54.7,12.4,27
ZCTA5 01532,61.4,7.6,24.3
ZCTA5 01534,59.9,6.5,27
ZCTA5 01535,56.9,11.2,25.3
ZCTA5 01536,52.3,10.2,30.3
ZCTA5 01537,37.8,18.1,36
ZCTA5 01540,47.4,14.7,30.5
ZCTA5 01541,60.2,9.4,26
ZCTA5 01542,54.3,12.4,25.7
ZCTA5 01543,59.6,8.9,27.3
ZCTA5 01545,59.4,7.4,27
ZCTA5 01550,42.6,12.6,35
ZCTA5 01560,55.5,11.6,27.5
ZCTA5 01561,65.9,0,27.7
ZCTA5 01562,51.5,10.3,30.2
ZCTA5 01564,59.2,9,24.7
ZCTA5 01566,61,10.3,23.8
ZCTA5 01568,60.7,8.4,23.8
ZCTA5 01569,52.8,8.1,32.8
ZCTA5 01570,43.9,12.9,33.1
ZCTA5 01571,45.7,10.3,39.2
ZCTA5 01581,61.2,6.1,25.2
ZCTA5 01583,40.8,11.8,41
ZCTA5 01585,59.2,9.3,24.5
ZCTA5 01588,46.8,16.4,30
ZCTA5 01590,58.1,8.8,27.5
ZCTA5 01602,41.9,9.7,40.8
ZCTA5 01603,38.1,13.1,41.6
ZCTA5 01604,37.6,12.6,41.6
ZCTA5 01605,31.1,11.3,47.4
ZCTA5 01606,42.1,12.2,36.7
ZCTA5 01607,41.5,13.6,40.8
ZCTA5 01608,15,10.2,57.9
ZCTA5 01609,30.9,5.8,55.1
ZCTA5 01610,20.7,11.6,59.4
ZCTA5 01611,40.2,17.2,35.3
ZCTA5 01612,50.3,10,33.5
ZCTA5 01701,59.5,8,25.7
ZCTA5 01702,41,10.8,40.5
ZCTA5 01718,64.8,10.6,24.7
ZCTA5 01719,57.5,7.4,31
ZCTA5 01720,65.1,6.8,24.1
ZCTA5 01721,59.3,8.9,26.2
ZCTA5 01730,62,8.9,22.6
ZCTA5 01731,74.8,5.1,19
ZCTA5 01740,68.7,6.3,21.6
ZCTA5 01741,68.1,7.4,21
ZCTA5 01742,59.5,8.3,24.2
ZCTA5 01745,79.5,0,14
ZCTA5 01746,65.2,6.2,22.5
ZCTA5 01747,55.9,11.3,25.8
ZCTA5 01748,68.4,5.1,22.4
ZCTA5 01749,53.9,8.8,28.8
ZCTA5 01752,51.9,9.6,32.5
ZCTA5 01754,57,9.9,25.6
ZCTA5 01756,64.8,5.4,25.2
ZCTA5 01757,50.9,11.7,30.7
ZCTA5 01760,58.3,9.8,25.9
ZCTA5 01770,68,5,22.6
ZCTA5 01772,60.4,7.8,26.8
ZCTA5 01773,68.3,10.2,16.6
ZCTA5 01775,66.7,8.2,20.6
ZCTA5 01776,70.9,4.9,20.9
ZCTA5 01778,69.1,5.4,19.5
ZCTA5 01801,48.4,8.6,35.3
ZCTA5 01803,59.9,6.8,25.4
ZCTA5 01810,59.1,8.7,27.6
ZCTA5 01821,54.5,9.4,29.6
ZCTA5 01824,61,7.6,24.2
ZCTA5 01826,51.8,9.4,31.7
ZCTA5 01827,62,7.9,24.7
ZCTA5 01830,43,12.5,35.7
ZCTA5 01832,41.2,13.3,39.2
ZCTA5 01833,64,9.1,22.8
ZCTA5 01834,57.1,6.4,30.7
ZCTA5 01835,48.8,10.4,35.5
ZCTA5 01840,34.2,12.4,47.2
ZCTA5 01841,32.1,10.4,49.3
ZCTA5 01843,36.5,9.9,44.9
ZCTA5 01844,48.8,9.1,34.8
ZCTA5 01845,56.3,8.3,28.4
ZCTA5 01850,37.1,9,47.5
ZCTA5 01851,38.3,11.6,42.7
ZCTA5 01852,38,12.2,41.5
