Zip Code,Mean income (dollars); Estimate; All households,Mean income (dollars); Margin of Error; All households,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Less than high school graduate,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - High school graduate (includes equivalency),MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Some college or associate's degree,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Bachelor's degree,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Graduate or professional degree,Percent; Estimate; Population 25 years and over - Less than 9th grade,"Percent; Estimate; Population 25 years and over - 9th to 12th grade, no diploma","Percent; Estimate; Population 25 years and over - Some college, no degree",Percent; Estimate; Population 25 years and over - Associate's degree,Percent; Estimate; Population 25 years and over - Bachelor's degree,Percent; Estimate; Population 25 years and over - Graduate or professional degree,Now married (except separated); Estimate; Population 15 years and over,Divorced; Estimate; Population 15 years and over,Never married; Estimate; Population 15 years and over
56131,68880,4226,28947,29286,37750,39375,49375,7.9,4.7,20.8,11.5,10.8,5.3,57.9,8.6,23
56132,82099,18636,-,32596,35341,46875,63125,1.9,5.7,22.3,10.6,12.0,5.7,58.6,12.2,24.1
56134,71470,10904,26875,33854,31583,56250,27250,6.3,5.1,19.0,15.5,12.3,3.2,59.2,14.4,23
56136,57448,4169,-,30074,35956,41250,75000,1.8,5.3,23.2,12.8,14.2,3.5,54.2,5.4,24.9
56137,68522,5059,30833,30089,36983,41250,62500,3.0,4.6,24.6,13.2,16.3,2.1,59.2,7.6,24.8
56138,89709,30718,-,33333,40750,42625,41250,12.7,2.5,25.1,10.8,12.1,2.5,63.7,7.1,17.3
56139,68050,8090,23750,31250,30250,45625,33750,1.9,5.7,22.1,13.7,9.1,5.7,60,8.3,24.3
56140,55522,27133,-,26250,-,-,-,2.2,8.7,6.5,2.2,4.3,6.5,63,17.4,17.4
56141,64917,9532,25625,43750,33750,28750,-,2.5,6.1,30.5,13.2,11.7,1.0,60.5,6.3,23.8
56142,55983,4623,32500,30833,30147,44063,-,5.2,5.5,22.7,14.1,15.8,3.4,61.3,8.6,21.4
56143,73726,14894,31510,30917,30231,49630,54886,2.9,6.1,22.4,14.1,15.7,7.2,55.8,11,24.7
56144,77500,17067,40313,34038,35750,55893,-,4.1,2.5,20.0,15.0,15.3,1.2,67.5,10.3,13.6
56145,62997,7058,25417,30000,30179,41250,62500,3.0,6.7,26.2,7.7,9.7,2.5,57,10.4,25.5
56146,52407,11127,-,-,-,-,-,0.0,0.0,6.4,12.8,12.8,0.0,79.1,4.5,16.4
56147,63102,7469,48750,31528,-,78558,-,3.2,5.7,34.8,5.1,10.8,0.0,58.5,19.3,15.9
56149,73974,10189,32857,31500,38929,37031,62500,1.6,5.0,19.9,15.5,17.1,3.8,58.1,9.7,23
56150,64571,3511,13977,31225,34607,42321,37404,1.2,4.3,23.4,12.3,13.8,3.6,58.6,11.4,19.9
56151,75138,6185,33750,31607,36923,42000,50556,2.5,4.0,23.7,16.9,9.4,4.6,61.7,7.9,22.3
56152,67462,6428,21607,27100,37868,43021,-,3.6,9.7,25.2,7.5,15.2,3.2,55.2,11.9,21.3
56153,46066,7998,27083,27188,23611,-,-,5.0,9.3,39.1,5.6,0.0,1.9,53.1,5.7,24
56155,82480,13513,-,41750,35208,40625,-,4.8,10.0,26.7,10.8,13.9,2.8,69.2,3.2,23.7
56156,68352,4315,14625,32087,36902,41667,57778,4.0,4.4,20.7,11.9,18.2,7.8,60.2,10.2,21.1
56157,84607,9059,6250,35455,28750,49167,41875,4.8,3.4,17.5,18.3,18.1,5.5,65.6,5,23.9
56158,72290,16334,37143,33125,31250,-,39375,8.2,8.5,15.1,14.1,10.8,4.6,61.9,11.7,21.8
56159,59907,5706,29464,26793,35781,32404,56042,6.3,6.8,26.2,10.3,13.7,3.6,54.5,12.2,22.6
56160,64922,10211,18125,42083,34643,40417,-,0.0,4.8,27.6,18.6,12.4,2.1,63.4,7.2,15
56161,66717,13319,22500,24688,30500,49167,47250,2.5,6.2,34.9,9.1,12.7,4.7,64.3,8.2,17
56162,67524,13605,-,44583,33750,-,38750,1.2,1.2,15.6,20.4,8.4,3.0,61.7,4.3,22.9
56164,62282,6288,20781,27138,30332,42036,56042,6.8,7.2,20.9,11.9,16.1,4.4,58.4,10.5,20.4
56165,77707,13285,32500,36071,30469,-,61250,4.2,4.2,22.4,15.0,6.6,7.3,55.1,12,24.2
56166,74406,15740,-,25417,40625,36250,-,3.5,9.4,28.8,12.4,7.1,0.0,66.1,2.7,27.4
56167,65221,9450,31250,29205,35625,56875,51250,2.7,6.5,26.6,12.5,7.1,3.4,59.6,6.4,28.8
56168,73796,8222,36250,31583,30417,43750,47500,6.2,5.5,23.1,15.6,8.0,3.2,58.9,7.6,25.8
56169,77515,10003,51250,35000,40625,40938,-,1.5,2.5,18.1,17.3,13.3,6.1,66.9,6.5,20
56170,63094,5060,25625,26518,32083,43750,62917,3.8,9.6,22.8,8.7,11.8,2.9,61.6,6.7,21.8
56171,75804,6258,30625,29615,36641,46875,69167,2.4,4.2,24.4,15.5,10.7,4.5,56.8,8.9,25.6
56172,67112,4856,21250,31116,36694,42083,61875,5.4,4.4,24.7,10.3,15.6,5.9,58.6,11.6,19.3
56173,63608,8975,21875,33500,32031,41250,-,0.9,8.6,15.1,21.1,10.3,3.4,63.5,5.9,28.8
56174,58670,10933,-,29000,27250,33750,-,1.6,3.6,25.9,15.8,17.0,0.8,57.3,16.1,20.8
56175,60964,4428,21310,24311,32264,39750,47045,3.9,3.6,25.4,12.5,15.0,3.7,55.7,11.3,22.9
56176,75928,7832,16250,27083,40250,50250,48750,2.1,7.7,24.7,11.7,19.1,4.5,57,11.4,23.8
56177,70886,21386,-,36667,28750,-,-,0.0,14.6,31.7,0.0,22.0,0.0,54,22,22
56178,67563,8913,36250,31413,35923,38750,46250,3.8,6.5,15.5,11.9,21.1,2.7,61.5,10.1,18
56180,68187,9943,19194,30368,29000,51029,62813,7.9,6.2,22.8,7.7,18.5,4.3,56.4,7.3,25.5
56181,68219,9520,22813,31957,30521,50625,-,3.5,5.2,24.3,12.1,9.9,2.9,61.6,11.6,20
56183,61899,4900,31750,29583,30000,42125,61250,3.8,5.2,26.7,8.1,11.9,2.5,61.9,6.8,21.9
56185,67559,14357,48750,37411,33056,14688,31667,2.7,4.2,31.3,13.9,8.7,2.0,58.1,9.7,22.2
56186,61581,12864,31875,38250,33750,46250,-,0.9,7.8,20.5,12.3,9.6,3.2,57.8,8.7,26
56187,63170,3916,30199,30211,33367,41418,43000,19.0,11.7,16.8,8.4,10.4,5.1,50,6.5,35.7
56201,64099,3501,24531,27511,32287,39894,61020,8.6,7.3,23.2,12.8,14.9,7.8,51,9.3,31.9
56207,72364,8378,-,16875,36458,52083,-,1.0,3.1,23.0,9.4,15.2,2.6,61.2,8,24.5
56208,52993,4461,27045,26833,30655,42188,46875,4.4,8.2,18.4,9.7,14.1,4.0,50.7,11.2,25.6
56209,77191,7795,14188,29464,38182,54063,64688,3.1,3.3,30.6,14.6,11.8,4.9,59.2,11.1,24.3
56210,N,N,-,-,-,-,-,0.0,0.0,66.7,0.0,0.0,0.0,0,0,33.3
56211,64800,11220,35000,34250,29063,38750,66250,3.2,2.3,22.3,18.8,8.1,3.2,59,7.4,25.6
56212,65771,8369,-,27500,30625,56667,29375,2.8,4.6,22.0,7.7,9.3,5.3,69.1,3.1,22.3
56214,62741,9160,25833,25625,37000,42750,42500,5.9,3.0,25.7,9.3,10.6,4.8,55.4,9.7,25.1
56215,66383,5977,22900,30721,33917,58828,79205,2.8,7.7,21.6,17.2,12.9,3.9,51.4,9.9,27.1
56216,76158,5298,35000,37361,36375,48250,36875,2.6,3.2,28.8,21.9,10.7,2.6,64.6,5.6,26
56218,70913,11645,4250,29688,27375,37375,41563,4.2,5.0,26.6,12.4,14.2,2.9,66.7,6.6,18.5
56219,58533,7958,-,31131,34554,26429,80357,6.2,2.8,18.6,14.0,7.7,7.4,60.4,8.5,18.8
56220,58305,4176,-,25101,32750,44583,50333,7.2,6.4,19.9,13.8,11.6,3.0,63,6.5,22.1
56221,65293,7785,-,31250,34286,26000,45000,1.1,3.6,22.9,12.9,21.9,1.4,64.5,5.9,25.5
56222,63783,4381,41667,27656,29213,55972,48281,6.2,5.6,25.9,11.5,10.6,2.5,61.9,7.1,21
56223,64082,5600,18958,31750,36667,42404,43438,3.4,6.5,24.8,12.7,15.4,5.2,50.8,9.3,27.9
56224,78074,10901,45859,31750,36875,40938,-,4.6,9.5,19.1,10.3,5.0,0.0,59.9,10.7,19.7
56225,57133,6765,-,30917,31250,40417,83036,6.1,4.9,20.2,11.2,11.0,2.2,61.1,9.3,19.4
56226,68172,7713,-,35000,43750,35536,-,2.1,6.8,37.0,12.3,14.4,0.0,73.8,7.5,16.9
56227,65572,18494,-,28750,42750,-,-,2.0,2.7,26.2,12.1,10.7,2.0,60.8,5.8,24.6
56228,61784,10993,34250,30150,26544,48750,50833,1.8,5.0,30.6,14.4,8.0,1.5,53.7,12.7,24.6
56229,77860,8180,31016,27125,36898,45962,57875,1.1,5.6,16.8,14.6,16.1,9.2,56.5,12.5,22.7
56230,76442,10617,26513,21908,39375,47188,44643,1.7,11.0,24.3,13.7,9.1,3.4,65.4,8.9,17.8
56231,74051,9372,-,33750,36964,29250,55313,4.4,7.4,18.9,17.9,16.6,4.4,61.8,6.4,21.8
56232,65449,5956,11875,27784,35559,43839,61111,2.6,3.6,23.2,12.5,13.5,6.7,65.4,6.8,18.7
56235,79109,13775,21250,27386,39375,50000,56875,4.0,3.4,17.8,13.8,15.4,3.7,67.4,4.1,25.1
56236,86653,17776,15625,48438,35729,48654,-,3.8,1.7,20.1,27.4,18.4,2.1,65.4,1.9,29.2
56237,58521,16329,45208,36250,27059,43750,-,2.3,7.6,23.8,16.1,10.9,1.8,53,7.2,34.2
