Zip Code,Mean income (dollars); Estimate; All households,Mean income (dollars); Margin of Error; All households,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Less than high school graduate,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - High school graduate (includes equivalency),MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Some college or associate's degree,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Bachelor's degree,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Graduate or professional degree,Percent; Estimate; Population 25 years and over - Less than 9th grade,"Percent; Estimate; Population 25 years and over - 9th to 12th grade, no diploma","Percent; Estimate; Population 25 years and over - Some college, no degree",Percent; Estimate; Population 25 years and over - Associate's degree,Percent; Estimate; Population 25 years and over - Bachelor's degree,Percent; Estimate; Population 25 years and over - Graduate or professional degree,Now married (except separated); Estimate; Population 15 years and over,Divorced; Estimate; Population 15 years and over,Never married; Estimate; Population 15 years and over
95555,61679,16881,-,-,24000,-,-,0.4,17.9,33.6,13.6,7.5,7.5,44.6,17.4,26.6
95556,35962,6646,33462,14219,17955,20847,-,0.0,8.2,18.5,8.2,22.6,5.8,45.5,11.3,30.6
95558,64679,17541,-,53750,31000,24750,-,0.0,4.3,30.1,7.0,25.0,10.2,57.7,16.2,18.5
95559,N,N,-,-,-,-,-,0.0,46.8,0.0,0.0,24.1,0.0,0,60.2,15.1
95560,60314,15606,-,21420,28583,-,21674,5.6,9.7,26.3,4.2,5.3,17.5,39.3,15.6,37.2
95562,47605,6412,29779,31292,24970,34394,-,2.0,10.8,30.6,12.5,10.4,0.6,47.2,12.5,31
95563,52756,19733,-,40083,-,37566,-,4.9,6.6,17.8,6.2,35.8,1.3,33.7,21.9,26.2
95564,56326,13180,-,31250,29286,-,-,0.7,16.2,14.0,8.5,18.0,7.4,20.8,9.2,58.9
95565,56775,13457,19375,26000,31186,71250,-,0.0,5.9,44.2,3.0,5.9,0.5,32,19.2,35.9
95567,62376,19608,20703,-,26250,26835,-,5.0,6.6,26.5,7.2,12.7,6.6,47.8,7.6,30.8
95568,41013,7385,-,-,20667,32188,-,9.4,7.2,24.9,13.8,17.7,1.7,41.1,8.6,49.7
95569,47036,19169,-,-,-,-,-,0.0,20.8,38.8,6.2,6.2,7.3,46.1,17.5,30.8
95570,77196,9752,-,18393,38333,37656,57115,1.9,1.5,21.0,8.9,30.7,24.6,50.2,12.7,29.3
95571,46529,13725,-,-,-,-,-,0.0,0.0,22.4,13.7,21.0,4.4,53.8,0,38.5
95573,41492,9847,-,-,36158,8528,-,0.0,3.1,45.0,5.7,20.1,3.7,53.4,20.8,19.4
95585,31088,6254,-,-,14125,-,-,4.5,5.5,40.7,11.7,10.9,2.1,42.7,21.2,28.4
95587,N,N,-,-,-,-,-,0.0,0.0,0.0,0.0,39.2,0.0,39.2,60.8,0
95589,63739,27671,-,42201,20625,-,-,0.0,7.6,15.1,12.5,21.4,13.2,58.9,12.3,19.4
95595,51461,21070,-,-,-,12500,-,4.4,0.0,48.9,5.6,22.2,7.8,49.6,17.9,30.8
95601,105438,56876,-,-,40625,-,-,0.0,0.0,26.2,11.9,22.6,6.0,35,22.3,40.8
95602,88488,5176,26439,36326,32311,58426,69821,3.0,3.2,26.9,11.9,19.8,11.5,56.3,11.5,24.6
95603,89923,5792,29512,34707,37472,59743,70912,3.4,5.0,28.4,11.4,19.6,11.4,51.9,14.2,24.3
95604,105728,38347,-,-,-,-,-,0.0,0.0,0.0,11.3,44.3,33.0,65.1,0,34.9
95605,55981,4705,17670,26644,30818,43458,52180,13.4,13.4,23.2,6.1,10.4,6.0,40.2,13.5,39
95606,70300,39532,-,-,-,-,-,13.5,9.5,43.0,0.0,24.5,0.0,67.2,0,32.8
95607,86610,34306,-,35647,47500,-,-,0.0,14.4,13.1,20.7,14.1,12.3,63.8,16.1,17.3
95608,88713,4372,21364,29656,35319,51012,74800,2.3,4.3,27.9,9.7,21.4,14.9,46.4,13.7,30.3
95610,67717,1965,21034,29101,35506,47318,70259,5.3,5.1,31.4,12.5,15.1,5.8,43.9,14.1,33.8
95612,97410,20118,-,23940,47120,68194,42875,2.3,0.9,29.7,11.5,24.6,12.2,52,7.6,23.5
95614,104615,10749,-,-,53385,58371,59135,0.0,1.2,34.3,13.5,22.8,13.2,72.7,7.5,14.5
95615,75102,27353,26029,26894,-,-,-,9.0,10.4,35.6,7.5,18.6,0.0,46.3,24.3,28.5
95616,85354,5561,16250,30563,29161,33283,67368,1.4,1.6,11.0,4.8,29.6,44.7,28.6,4.4,63.8
95618,126454,7000,19116,36047,35903,56072,84913,1.6,1.6,10.1,5.7,30.6,42.3,45.9,6.8,43
95619,73687,11066,37326,32228,38750,63814,28839,8.2,12.1,27.1,10.4,12.9,2.3,46.4,13.6,26.6
95620,90170,10203,24588,38041,38297,54337,73036,14.5,8.8,24.0,9.0,11.9,7.3,51.8,10,32.1
95621,67656,3548,30518,30445,37740,44167,58091,3.1,5.9,32.9,11.5,13.2,6.0,42.6,15.4,31.9
95623,87003,9377,50545,31838,42404,84909,78750,0.6,4.3,29.5,14.3,19.2,8.0,61.5,14.4,20.2
95624,108520,4529,21212,36797,44065,68509,72944,5.9,4.3,27.6,11.3,22.5,8.4,54.7,9,30.2
95625,51616,25929,-,18594,-,-,-,0.0,0.0,71.6,0.0,0.0,0.0,0,69.3,9.1
95626,75710,6224,39583,37163,35300,47750,54000,6.6,6.6,28.5,6.6,9.4,5.8,50.4,11.6,31.3
95627,78185,19098,25492,29543,40532,79205,60577,14.9,7.5,28.2,4.4,10.7,9.7,52.5,11.5,25.8
95628,104062,4410,33328,31784,39548,62283,76474,2.1,3.9,28.3,10.9,24.3,15.0,49.8,12.9,28.7
95629,72783,14542,-,9261,55729,-,-,0.0,4.0,26.4,20.4,23.9,6.3,73,9.1,17.9
95630,122537,3239,24491,34951,54287,79994,100336,2.7,4.9,19.5,8.8,29.0,19.5,56.2,11.5,25.8
95631,88136,15720,-,31667,52077,58500,91875,0.0,4.0,33.0,15.5,15.2,4.1,63.5,12.9,17.7
95632,85802,5464,23481,37320,40855,58906,61201,10.2,7.7,25.3,10.2,12.6,5.2,53.7,10.1,30.4
95633,85772,13090,43606,41531,48932,79667,-,1.6,6.6,35.9,9.6,11.2,2.1,61.3,7.5,23.5
95634,66741,8533,44444,28409,-,-,-,1.0,8.7,39.8,12.6,3.9,5.5,60.9,10.7,19.3
95635,54090,10847,19919,11692,29653,-,-,0.0,14.1,29.0,13.0,10.3,4.4,52.6,11.4,13.5
95636,52449,15714,-,-,36875,-,61979,2.0,4.0,48.7,10.5,19.0,6.8,55.1,9.5,20.2
95637,41542,11430,-,-,-,16154,-,18.3,0.0,45.7,0.0,19.3,4.6,60.5,0,39.5
95638,107856,21667,26570,45347,53750,63889,130208,5.9,6.1,25.1,9.5,19.3,8.4,62.6,7.9,23
95639,71444,15171,-,45529,16375,-,-,9.6,0.0,12.6,3.5,3.9,0.0,39.5,10.3,20.3
95640,75017,8507,31490,40656,37436,49427,74583,4.7,14.5,28.9,9.3,10.2,4.9,43,16.5,34.7
95641,54000,6595,21058,40750,27031,31375,-,8.1,4.2,34.0,8.0,8.1,4.3,49.9,16.9,22.8
95642,70773,11355,-,24808,36309,51522,47500,1.6,5.0,30.2,10.5,16.6,6.9,52.4,12.3,22.5
95645,53482,10016,20268,26964,36068,76000,-,24.3,12.4,21.1,7.2,8.1,3.1,49.8,10,31.1
95646,74696,31612,-,-,-,21354,-,0.0,0.0,24.6,0.0,20.0,9.2,28.8,5.5,65.8
95648,94156,3029,24604,35051,49000,66146,74432,3.1,4.5,28.7,10.6,22.1,10.2,62.3,9.6,19.6
95650,111205,15640,36438,37188,45878,62813,92152,0.6,2.7,26.8,11.9,24.2,13.8,56.8,12.7,25.2
95651,127362,59290,-,-,-,-,-,0.3,1.5,44.5,8.9,23.5,6.3,76.2,5.6,17.1
95652,50402,16408,-,27448,-,38929,-,4.6,12.0,27.5,12.5,8.1,6.6,20.9,11.8,42.9
95653,74559,24015,28698,40682,-,-,-,27.0,21.4,15.0,0.0,2.6,2.1,57,12,31
95655,90986,12299,45469,37366,40250,57375,92569,3.6,5.5,28.6,11.2,25.6,10.6,55.8,9.5,28.8
95658,108098,9141,25368,34722,37875,60313,69265,0.9,2.1,28.4,9.6,27.5,14.9,58.7,9.1,23.8
95659,75494,16579,22375,-,30000,108542,-,8.6,9.5,28.0,10.0,9.1,9.5,56.5,12.6,25.8
95660,51700,3491,17571,29993,28849,40788,31083,9.3,10.6,27.3,9.6,7.9,2.3,43.2,11.2,36.8
95661,102076,4153,26625,33222,47011,62500,78871,1.9,3.3,24.7,11.3,25.7,14.1,51.6,12.3,27.4
95662,89248,4664,25554,33766,42220,60686,71838,2.0,3.8,28.4,11.2,22.1,8.1,51.4,13,28.4
95663,127425,17541,-,41250,53026,79231,-,1.2,2.7,33.2,12.3,19.9,13.3,59,11.2,21.1
95664,77585,17334,-,-,14016,-,-,0.0,7.9,37.0,9.4,14.9,1.4,44.8,9.9,35.8
95665,91045,17989,-,32424,26448,51146,78733,0.9,1.6,34.5,11.3,18.5,8.2,55.8,13.2,21.6
95666,68622,7387,22386,31223,35625,49120,100048,2.3,5.7,29.6,10.4,15.9,7.1,60.2,14.2,16.2
95667,85169,5470,16857,31358,37113,48462,57692,1.3,6.8,26.8,10.1,17.7,10.2,54.9,12.3,23.3
95668,79955,14950,-,-,31500,-,72250,5.4,4.6,34.6,7.8,10.9,5.9,49.8,11,32.5
95669,75946,10172,25230,34896,43097,36382,56750,5.4,4.0,27.2,9.1,15.4,8.5,57.4,16.6,18.9
95670,80892,3535,23280,26369,33563,54276,72328,4.7,5.9,27.0,8.9,21.2,9.7,44.5,12.3,35.3
95672,121451,16177,25583,39219,48304,63365,90227,2.3,5.3,28.6,13.8,21.3,10.4,57.6,10.4,24.7
95673,67542,4177,30307,30934,32819,60755,76607,6.9,10.1,25.4,7.3,11.0,3.0,45.6,15.1,31.2
95674,113256,25559,-,41058,46364,50769,82250,5.1,10.4,26.2,11.0,13.5,6.5,50.9,15.4,27.6
95675,39944,15208,-,-,-,-,-,0.0,16.5,26.7,33.0,0.0,3.4,17.6,9.6,34
95677,93933,4519,21339,36000,41441,60561,75644,1.6,3.0,28.5,12.4,23.5,12.9,50.6,11.4,30.7
95678,83316,3767,22256,35207,40808,61745,78050,3.3,4.5,28.2,10.5,23.2,10.2,51.7,11.7,28.6
95679,N,N,-,-,-,-,-,0.0,0.0,0.0,0.0,50.0,50.0,41.7,29.2,29.2
95680,N,N,-,-,-,-,-,0.0,0.0,0.0,0.0,25.7,0.0,74.3,0,0
95681,58377,14559,26213,-,30600,54773,-,7.4,15.7,22.2,3.5,7.4,2.5,41.8,12.6,40.9
95682,98364,4477,23125,32421,41785,74464,66889,2.2,2.9,31.8,10.7,20.9,10.6,52.2,12.5,28.4
95683,123369,12365,-,20750,51984,80859,76121,1.1,3.1,24.3,10.5,29.2,19.7,65.9,8.9,19.7
95684,71500,17596,17955,28875,25022,-,-,0.0,6.9,31.9,10.3,11.8,6.0,63.8,5.7,23.3
95685,77926,10530,28958,36250,36030,50865,-,2.2,6.2,25.5,9.2,17.1,13.2,56,14.6,20.6
95686,48593,8608,16438,19500,27396,90833,-,25.8,11.5,16.4,7.3,9.4,0.8,42.1,9.9,39.7
95687,92441,3297,25438,38018,44095,59784,76136,3.7,7.7,31.5,10.5,14.8,6.9,45.7,13.7,32.7
95688,102558,4062,24095,31978,46763,65536,86393,5.8,5.7,30.2,9.0,17.3,10.0,52.8,11.1,29
95689,77880,13355,-,-,-,-,61250,0.0,3.8,48.7,10.4,11.6,6.2,67.1,12.5,13.5
95690,79460,21311,23869,26250,40547,76944,143438,28.6,1.7,20.5,10.4,12.9,3.5,62.9,5.1,21.5
95691,84106,3462,21590,32854,40262,57778,76232,6.1,6.0,26.9,8.4,21.3,10.9,49.7,12.3,30.9
95692,92561,12426,26957,36188,49063,55238,55052,5.8,7.4,35.8,10.9,10.9,6.0,54.3,10,31.5
95693,103394,11039,-,30349,42246,81974,77773,4.9,4.6,27.5,11.3,20.8,7.4,67.9,6,18.8
95694,98763,12645,25391,32111,38114,61838,77292,13.0,6.3,24.3,5.4,18.5,11.2,55.9,6.2,29.3
95695,77727,3676,21754,31463,36794,55703,67908,9.2,9.0,22.1,7.8,15.7,9.1,51.7,10.6,29.7
95697,58793,23795,-,60333,-,-,-,26.7,12.4,21.9,7.2,3.2,0.0,56,10.8,30.7
95698,70538,39438,-,-,-,-,-,10.4,23.8,12.2,0.0,9.8,6.1,35.4,18.8,19.3
95699,85881,30073,-,-,-,-,-,68.3,0.0,22.8,0.0,9.0,0.0,49.3,6.5,27.9
95701,76770,17069,-,25875,24400,-,72813,1.5,1.3,30.4,16.9,16.2,16.1,65.6,10.9,14.4
95703,77885,14763,-,63750,37670,65909,-,2.8,3.4,33.4,10.2,16.0,9.0,59.8,12.3,22.2
95709,92552,9207,41295,30640,37083,46250,78523,2.0,2.3,28.7,14.1,17.0,9.6,62.6,8.1,23
95713,81082,12410,-,39650,34815,55664,41946,1.0,2.9,33.0,12.1,14.8,7.3,50,15.4,25.4
95714,83693,27440,-,-,36250,26250,74063,0.0,1.1,26.0,12.5,22.6,25.3,47.2,11.6,27.9
95715,38974,7555,-,-,-,-,-,0.0,25.0,8.8,14.7,5.9,10.3,32.4,36.8,7.4
95717,55791,19461,-,41136,32000,-,-,0.0,0.0,15.7,33.9,16.5,0.0,48.8,16.5,20.7
95720,51400,20208,-,-,36250,-,-,0.0,15.0,32.5,20.0,2.5,5.0,45,7.5,22.5
95721,N,N,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0,100.0,0,100,0
95722,104529,10733,-,38917,42450,48299,78977,0.2,4.7,23.8,12.1,24.1,14.7,68,12.2,13.8
95724,-,**,-,-,-,-,-,0.0,0.0,0.0,0.0,100.0,0.0,50,0,50
95726,73894,5316,-,22000,33816,54173,72344,1.9,7.4,22.0,11.6,18.3,12.0,53.7,11.4,25.8
95728,106824,103867,-,-,-,-,-,0.0,0.0,13.9,20.6,40.2,13.9,37.9,9.6,52.5
95735,N,N,-,-,-,-,-,0.0,100.0,0.0,0.0,0.0,0.0,0,0,100
95736,43056,9129,-,-,-,-,-,0.0,0.0,13.0,0.0,29.8,13.0,34.4,0,65.6
95742,119533,7530,30875,27087,51617,71765,88983,2.3,1.8,24.7,10.8,28.4,15.2,61,10.6,25.6
95746,179516,13313,-,36646,52714,82527,116700,0.8,1.5,20.7,9.8,33.2,21.3,66.1,7.5,20.7
95747,115980,4445,36827,39360,49995,81058,89332,1.7,2.8,24.7,12.7,29.5,12.2,56.8,9.3,27.5
95757,114343,7635,26615,30523,46157,69205,86400,6.5,5.4,21.3,11.6,28.7,12.2,54.2,8.3,31.4
95758,91873,4207,23271,35970,38143,60649,73786,5.4,4.4,24.8,10.7,25.2,11.4,52.1,9.2,31.4
95762,158048,7637,34191,43727,48953,88365,109855,1.3,2.2,20.1,9.8,32.6,21.4,64.7,7.7,22.5
95765,121716,5974,28083,39205,50522,78325,89524,1.4,1.6,23.9,11.3,31.6,16.0,58.2,8.2,27.7
95776,82239,4509,23403,36258,40456,63724,64471,10.5,10.3,23.5,6.2,16.3,12.1,52.4,9,32.9
95811,72486,10304,12109,21740,32813,57361,75000,3.9,7.7,22.0,6.3,28.5,18.0,21.6,15.7,57.5
95814,58334,4487,16108,22917,29938,46250,73500,7.1,7.8,22.2,6.7,25.3,13.9,20.6,15.1,55.4
95815,43580,4395,20807,25688,26199,35471,43958,12.0,15.7,24.2,8.1,7.6,6.5,33.1,13.2,44.3
95816,84509,4836,17200,27155,38864,50299,74697,1.8,2.0,21.1,6.4,34.1,25.2,27.2,12.8,52.8
95817,58700,4838,19870,30884,35097,50168,67917,8.5,6.7,24.0,7.8,25.0,13.3,29.9,12.2,49.4
95818,109747,19955,13269,23750,35000,63708,88019,3.9,3.7,18.7,7.2,32.5,24.5,42.8,11.7,37.9
95819,122436,7127,30125,32088,43268,70423,83015,0.6,1.0,18.9,6.4,35.9,28.1,44.8,10.7,39.9
95820,59509,4713,20301,25567,33799,40885,62222,13.2,11.4,23.1,8.4,11.8,7.6,35.2,14.1,42
95821,63001,5180,16907,24275,30321,46442,66190,3.6,7.0,25.6,9.1,18.3,8.7,40.2,15.3,34.4
95822,67857,3040,22134,27633,31276,50103,76510,11.7,7.1,23.9,8.5,16.1,7.7,40,12.8,37.3
95823,55558,2576,19302,26829,29152,40435,58364,13.6,10.7,25.8,8.2,9.5,3.1,40.8,9.4,40.4
95824,43131,2825,17140,24375,25325,37542,51179,23.0,14.7,18.0,5.7,5.3,1.4,37.1,9.8,43.9
95825,51906,3228,14700,25200,31557,41014,63897,5.9,6.6,22.4,8.8,22.9,10.3,32.7,13.2,45
95826,69634,2418,19939,25677,35383,46309,73851,4.0,5.0,25.8,13.1,23.8,9.9,37.5,12,43.5
95827,67310,3300,21471,28649,33509,38125,61310,4.9,6.7,30.3,10.0,14.8,5.3,44.4,12.1,36.3
95828,60845,2308,24154,24555,32389,43500,59743,15.9,10.2,23.3,7.9,11.5,3.0,43.2,10.7,37.8
95829,94173,4828,17847,32013,45582,61014,62162,8.4,4.6,25.3,12.5,20.9,8.9,55.1,9.5,29.4
95830,102805,25010,-,-,32829,-,172344,6.1,2.5,31.0,14.2,13.8,12.8,53.8,12.8,25
95831,91015,3439,13563,30286,39826,55171,77083,3.2,3.6,21.8,10.7,28.2,17.2,47.1,10.3,34.2
95832,52819,5568,19118,24712,29348,36648,81875,11.6,11.5,24.5,8.5,5.6,2.8,39.2,7.9,44.5
95833,74232,3755,23021,27609,35815,53525,68649,5.8,7.8,23.0,9.6,18.4,9.3,39.7,12.2,42.1
95834,71913,3952,22031,29836,36065,54678,71250,6.8,4.6,22.8,11.2,21.1,10.5,47.7,12,33
95835,104794,5276,24697,30945,41443,63402,77696,4.0,4.2,22.5,10.4,28.7,15.5,55.7,10.2,27.3
95837,207431,42255,-,-,64688,115625,153750,0.0,1.1,12.4,1.7,50.6,28.1,55.1,7.8,30.7
95838,53634,3323,24849,30037,31786,50757,73176,14.0,11.7,22.7,7.2,8.8,2.5,38.5,10.6,43.5
95841,54825,3532,19250,26961,30429,41100,51957,2.8,5.7,30.4,11.5,14.8,6.8,40.2,15.1,36.2
95842,58691,3019,24583,26570,36258,44496,41790,5.8,7.2,26.5,12.2,11.4,4.3,43.3,12.6,36.1
95843,81239,3530,30882,35518,40434,54295,65125,4.3,3.9,28.3,12.0,17.6,5.3,51.1,9.1,33
95864,140853,8960,33021,30417,44338,61216,97125,1.6,1.8,17.4,8.8,31.8,24.4,56.2,10.9,24.3
95901,59514,3391,19679,27108,31556,35494,66845,7.6,10.8,30.5,11.5,12.0,4.6,49.3,12.2,31.4
95903,51990,6590,-,-,28289,40769,90938,2.6,3.1,39.5,13.7,18.8,13.1,49.5,2.6,47.1
95910,N,N,-,-,-,-,-,0.0,0.0,19.2,0.0,80.8,0.0,0,0,19.2
95912,82810,17728,27909,29199,37734,50694,40417,26.8,9.7,20.4,6.6,11.2,2.0,58.2,5.8,30.5
95914,48428,13465,-,40732,37083,-,-,3.8,11.3,19.5,4.8,20.0,1.4,63.7,13.4,6
95915,-,**,-,-,-,-,-,-,-,-,-,-,-,-,-,-
95916,41121,6085,8542,15446,21161,-,-,1.6,13.0,26.4,11.2,6.2,3.1,48.9,14.7,26.3
95917,85467,13874,26875,32308,30843,67083,-,15.9,11.1,30.2,5.2,5.3,1.1,50.9,12.9,27.8
95918,96157,13878,-,51901,52464,39438,68214,0.0,6.0,28.7,13.9,16.4,11.8,68.1,7,19.5
95919,53030,11432,-,16588,-,-,-,1.5,8.7,46.8,0.0,9.0,2.6,61.9,6.8,27.1
95920,80080,31250,18839,-,-,-,-,27.9,11.6,16.7,3.6,8.0,0.0,46.3,17.4,33.1
95922,54908,10932,24167,-,30972,45833,36250,4.2,7.4,34.3,7.9,13.0,8.8,62.6,15.7,11.6
95923,N,N,-,-,-,-,-,0.0,18.8,31.3,0.0,0.0,31.3,100,0,0
95925,26056,5593,-,-,-,-,-,0.0,12.5,23.8,0.0,33.8,11.9,52.2,16.7,31
95926,67168,5163,14891,27153,29113,46276,59653,2.6,3.0,27.2,12.7,23.2,15.4,31.2,11.1,52
95928,70036,4306,23504,23817,26980,46641,66922,3.6,6.2,27.6,8.7,26.3,11.9,38.4,11.3,44
95930,59945,26280,-,-,-,-,-,0.0,28.8,0.0,23.2,0.0,0.0,100,0,0
95932,73184,7263,20234,30363,34508,54554,77000,13.3,10.1,23.7,11.0,15.7,6.5,51.7,11.1,29.7
95934,42252,23807,-,-,-,-,-,0.0,3.5,18.0,12.3,5.4,8.9,32.6,31.3,30.7
95935,60534,45794,-,-,-,-,-,0.0,8.0,17.1,9.1,10.1,0.0,21.5,15.7,42
95936,30239,18838,-,-,-,-,-,0.0,11.5,30.8,0.0,5.1,5.1,9,76.9,0
95937,71352,16090,23158,14904,48092,-,123750,12.3,14.7,14.8,7.3,9.0,3.4,57.7,10.9,22
95938,82740,12272,10777,25956,32805,54826,63650,2.1,4.9,24.7,13.2,23.3,14.4,55.3,12.2,25.4
95939,43067,8491,16250,-,29750,-,-,3.9,15.4,31.1,5.3,8.4,0.4,41.6,11.2,39.1
95941,47932,14965,-,-,-,-,-,0.0,18.8,23.5,0.0,14.7,9.3,63.1,24.4,0
95942,71325,35797,-,-,-,-,52083,0.0,8.9,31.0,20.2,4.0,14.9,50.1,32.3,11.1
95943,104246,30139,-,28409,31473,67813,-,5.6,9.2,41.5,7.3,11.1,0.9,48.3,11.7,37.2
95944,N,N,-,-,-,-,-,0.0,0.0,27.3,0.0,0.0,0.0,51.5,0,48.5
95945,66017,5320,17009,30765,24321,42413,50595,2.7,5.1,31.2,11.5,17.6,11.0,43.5,17.1,27
95946,82644,9417,-,33535,30151,45463,62143,0.4,3.4,31.5,13.5,22.1,13.4,60.4,11.8,19.7
95947,59556,15215,-,-,31739,-,"2,500-",4.2,4.1,36.7,9.3,6.9,8.5,51.9,24,16.6
95948,62746,4844,23591,25846,28694,56080,71912,15.3,10.1,28.7,7.9,13.1,3.8,51.7,9.2,30.1
95949,80884,5176,20536,26076,32917,43487,69735,1.3,4.1,30.7,11.4,18.2,11.7,56.7,12.2,22.1
95950,43256,12486,26538,-,-,-,-,53.0,9.3,17.9,4.9,0.0,6.3,71,0,19
95951,52432,7699,28667,22159,34663,45700,-,31.5,17.3,15.4,2.6,7.1,1.8,53.7,6.3,34.4
95953,75609,13121,22908,32140,31806,58958,76211,16.3,16.3,22.9,8.8,7.4,4.0,45.9,12.5,31.9
95954,53809,3686,21607,19026,30307,43365,70729,1.7,7.3,34.1,10.6,13.1,4.9,45.1,15.4,29.7
95955,80778,18647,16842,37500,36964,82578,-,9.3,6.7,24.8,13.1,13.2,2.8,50.7,9.7,24.3
95956,81675,25594,-,-,17604,52321,61635,0.0,0.0,40.0,10.9,17.0,10.2,47.1,16.8,18.7
95957,64391,7814,29375,35179,40833,60441,77813,9.3,13.4,19.5,13.1,14.1,4.9,50,11.6,28.8
95959,87678,7408,27355,26343,31437,31494,51920,2.2,4.4,24.5,10.1,26.3,16.5,54.2,13.8,23.8
95960,49384,11652,-,18647,-,36339,-,0.9,5.5,14.9,9.8,17.7,6.8,36.8,12.3,43.6
95961,64859,3570,21651,29770,40725,52245,63967,9.2,12.9,30.6,9.8,9.0,2.9,48.3,11.8,32.4
95962,62748,21019,-,-,-,-,-,0.0,3.3,13.6,14.0,46.6,7.5,46.4,29.7,19.3
95963,55937,4975,25767,26154,25341,50819,68203,13.0,12.1,25.2,6.3,12.2,3.2,56.8,9.9,26
95965,52935,3864,19892,21195,27148,40685,51450,6.3,12.6,30.6,9.2,8.9,3.9,40.8,16.2,35.1
95966,55370,2853,20780,28021,28225,54792,46667,5.8,10.3,32.8,9.1,8.9,3.4,44.2,14.2,30.2
95968,40610,8061,21106,32545,23889,-,-,16.6,16.5,32.3,6.5,1.3,1.7,48.7,8.5,36.3
95969,66285,5691,26948,26311,27687,48627,45268,2.0,6.7,30.0,10.9,16.3,9.3,47.7,14.3,26.5
95970,91736,37057,27500,-,35114,45625,-,13.5,3.4,24.3,12.5,8.9,4.6,55.5,12.1,23.5
95971,62163,8108,-,28967,26337,42134,43036,1.2,4.6,34.2,14.9,8.8,11.6,44.6,15.9,28.4
95973,81059,6171,22550,30278,32663,54349,65222,2.4,4.7,27.1,10.7,23.6,11.0,48.1,12.5,31.9
95974,N,N,-,-,-,-,-,0.0,0.0,51.6,0.0,0.0,0.0,0,0,100
95975,69359,27928,-,-,27303,58182,72188,3.4,12.0,42.5,5.6,18.3,5.7,50,20.7,15.5
95977,61144,14379,50972,-,34038,32109,-,0.3,5.1,34.4,4.3,26.0,1.4,50.5,8,33.2
95978,30980,42260,-,-,-,-,-,0.0,17.0,17.0,0.0,0.0,0.0,28.1,0,71.9
95979,61742,21512,-,32014,32560,105357,-,1.7,21.2,19.7,6.8,8.1,0.0,45.1,18.3,29.1
95981,N,N,-,-,-,-,-,0.0,0.0,0.0,0.0,47.6,0.0,100,0,0
95982,96089,14614,32109,34038,46445,72557,66058,1.8,5.2,32.0,11.4,14.0,5.0,64.1,2.8,26
95983,86291,52254,-,-,95313,-,-,0.0,0.0,27.8,11.7,3.2,17.4,54.6,8.8,24.7
95984,N,N,-,-,-,-,-,0.0,0.0,75.6,0.0,0.0,0.0,0,0,0
95986,34363,21765,-,-,-,-,-,0.0,23.1,42.3,0.0,21.8,0.0,43.6,48.7,0
95987,78846,23409,18558,36528,30000,50556,-,29.6,9.0,17.8,9.0,6.8,4.7,56.4,6,31.8
95988,59561,6295,20542,24583,31768,63870,87708,11.7,14.5,24.5,11.0,8.2,3.5,53.3,9.6,28.9
95991,60353,2325,18992,26364,31006,46496,72039,13.1,9.1,24.9,10.5,10.7,4.8,48.2,14,29.9
95993,82466,4349,21213,28581,34904,56107,67604,11.6,7.4,25.5,12.3,14.4,6.6,59.4,9.7,23.2
96001,71823,3799,17127,28021,31255,43313,66319,1.3,5.9,28.6,12.5,16.6,11.3,48.8,14.7,27
96002,66258,4671,16534,32159,28346,50519,50000,3.4,5.5,34.3,10.5,14.7,7.0,47.3,14.1,30.4
96003,64638,2487,18125,29563,31663,41238,60492,2.6,5.4,32.8,11.5,16.0,8.4,46.3,14.9,30.8
96006,54794,16818,-,51597,26000,-,-,0.0,0.0,31.5,6.4,9.7,10.9,57.1,7.4,29.1
96007,55880,4111,17135,30503,30147,52016,51860,3.9,10.0,31.8,12.8,8.4,3.5,52.3,16.4,24
96008,76414,16307,-,-,39145,34119,-,0.0,8.3,33.7,6.0,18.3,8.8,74.6,6,11.8
96009,82721,29584,-,36250,-,-,-,4.2,3.5,47.2,7.3,4.2,2.1,76.9,8.4,5.6
96010,44476,10360,34250,30313,36250,-,-,3.2,18.1,30.3,9.7,0.0,0.0,37.9,18.2,35.9
96011,29261,9936,-,-,21250,-,-,0.0,6.3,36.6,12.5,8.9,8.9,39.8,13,34.1
96013,49956,6197,17270,28171,26185,44426,-,6.3,12.4,26.9,6.5,11.5,2.1,46.4,17.5,23.1
96014,49009,14104,-,-,-,-,-,0.0,0.0,50.8,18.8,4.7,7.0,53.5,0,32.5
96015,44211,16399,-,-,21384,-,-,19.2,6.9,18.0,7.3,9.9,24.9,52.3,13.5,31.9
