Zip Code,Lat,Lng
02766,41.96,-71.18
02767,41.94,-71.06
02769,41.84,-71.24
02770,41.75,-70.85
02771,41.84,-71.32
02777,41.76,-71.23
02779,41.83,-71.06
02780,41.91,-71.12
02790,41.6,-71.1
02791,41.52,-71.076
02802,41.92,-71.44
02804,41.43,-71.76
02806,41.74,-71.32
02807,41.19,-71.58
02808,41.41,-71.74
02809,41.68,-71.27
02812,41.47,-71.67
02813,41.4,-71.66
02814,41.9,-71.7
02815,41.78,-71.66
02816,41.69,-71.63
02817,41.6,-71.7
02818,41.64,-71.48
02822,41.6,-71.7
02825,41.79,-71.7
02826,41.96,-71.64
02827,41.69,-71.73
02828,41.88,-71.56
02830,41.97,-71.65
02831,41.75,-71.59
02832,41.5,-71.73
02833,41.5,-71.78
02835,41.51,-71.37
02836,41.45,-71.62
02837,41.51,-71.16
02838,41.97,-71.47
02839,41.95,-71.64
02840,41.49,-71.32
02841,41.51,-71.32
02842,41.52,-71.28
02852,41.59,-71.46
02857,41.82,-71.65
02858,41.96,-71.64
02859,41.97,-71.74
02860,41.88,-71.39
02861,41.88,-71.35
02863,41.89,-71.39
02864,41.96,-71.43
02865,41.92,-71.44
02871,41.59,-71.26
02872,41.62,-71.32
02873,41.5,-71.73
02874,41.52,-71.47
02875,41.46,-71.64
02876,42.001,-71.571
02878,41.61,-71.17
02879,41.43,-71.54
02881,41.48,-71.53
02882,41.43,-71.47
02885,41.73,-71.26
02886,41.71,-71.46
02888,41.75,-71.41
02889,41.7,-71.39
02891,41.36,-71.8
02892,41.5,-71.58
02893,41.7,-71.51
02894,41.45,-71.69
02895,42.0,-71.5
02896,41.97,-71.54
02898,41.52,-71.67
02903,41.82,-71.41
02904,41.85,-71.44
02905,41.79,-71.4
02906,41.84,-71.39
02907,41.8,-71.43
02908,41.84,-71.44
02909,41.82,-71.45
02910,41.78,-71.43
02911,41.85,-71.47
02912,41.826,-71.4
02914,41.81,-71.36
02915,41.78,-71.36
02916,41.84,-71.36
02917,41.9,-71.53
02919,41.83,-71.52
02920,41.77,-71.47
02921,41.76,-71.52
03031,42.87,-71.61
03032,42.99,-71.35
03033,42.75,-71.67
03034,43.07,-71.31
03036,42.97,-71.24
03037,43.15,-71.25
03038,42.89,-71.28
03042,43.05,-71.08
03043,42.99,-71.82
03044,42.99,-71.13
03045,43.02,-71.57
03046,43.11,-71.59
03047,42.93,-71.88
03048,42.75,-71.76
03049,42.75,-71.58
03051,42.76,-71.41
03052,42.85,-71.45
03053,42.9,-71.4
03054,42.85,-71.52
03055,42.82,-71.67
03057,42.9,-71.69
03060,42.73,-71.46
03062,42.73,-71.5
03063,42.77,-71.53
03064,42.78,-71.47
03070,42.98,-71.69
03071,42.75,-71.87
03076,42.74,-71.32
03077,43.03,-71.2
03079,42.79,-71.23
03082,42.9,-71.77
03084,42.84,-71.86
03086,42.83,-71.77
03087,42.81,-71.3
03101,42.99,-71.47
03102,43.01,-71.5
03103,42.94,-71.44
03104,43.02,-71.44
03106,43.07,-71.44
03109,42.97,-71.41
03110,42.94,-71.54
03215,43.952,-71.507
03216,43.45,-71.79
03217,43.72,-71.63
03218,43.34,-71.28
03220,43.46,-71.47
03221,43.3,-72.0
03222,43.6,-71.8
03223,43.9,-71.7
03224,43.35,-71.55
03225,43.36,-71.24
03226,43.71,-71.51
03227,43.8,-71.4
03229,43.2,-71.7
03230,43.5,-71.9
03231,43.45,-71.8
03233,43.43,-71.93
03234,43.22,-71.34
03235,43.45,-71.68
03237,43.4,-71.4
03238,43.95,-71.88
03240,43.6,-72.0
03241,43.71,-71.83
03242,43.17,-71.82
03243,43.52,-71.76
