Zip Code,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Total No HS Diploma,Total HS Diploma,Total Some College,Total College Degrees,Degree Rate,Average Student Debt,Total educational attainment over 25,Lat,Lng
36612,4742,36.7,23750,13046,1593,33.5934205,736,1209,651,507,16.33902675,,3103,30.75,-88.11
38040,5337,34.8,38472,18037,1167,21.86621698,764,1541,629,573,16.33875107,,3507,35.9,-89.5
37354,16650,39.9,33655,18275,3780,22.7027027,2271,4672,2658,1875,16.33844545,,11476,35.5,-84.4
33843,12726,42,37920,14681,2359,18.53685369,2377,3601,1422,1445,16.33691351,,8845,27.7,-81.5
32798,2623,67.3,34367,21656,631,24.05642394,388,1058,536,387,16.33600675,,2369,28.73,-81.59
45326,1016,44.7,54135,25302,17,1.673228346,101,371,158,123,16.33466135,,753,40.14,-84.09
43933,2162,44.3,42163,20910,355,16.4199815,132,944,261,261,16.33291615,,1598,39.94,-80.89
50157,622,51.3,45800,30387,45,7.234726688,46,291,78,81,16.33064516,,496,41.7,-92.6
70638,866,31.3,50769,19352,124,14.3187067,103,226,127,89,16.33027523,,545,30.87,-92.8
50118,970,45.1,59453,28629,52,5.360824742,48,342,189,113,16.32947977,,692,41.45,-93.38
85034,4187,29,19509,11312,2005,47.88631478,1102,629,288,394,16.32822213,,2413,33.43,-112.01
32431,4086,40.6,30625,15707,1077,26.35829662,666,1134,588,466,16.32796076,,2854,30.8,-85.4
66930,255,42.5,58438,22613,44,17.25490196,6,53,64,24,16.32653061,,147,39.7,-97.5
49776,1839,51.4,40286,21116,243,13.2137031,231,649,304,231,16.32508834,,1415,45.3,-83.7
42325,2495,38.7,33807,25022,284,11.38276553,307,776,301,270,16.32406288,,1654,37.33,-87.29
42041,4628,43.9,34102,19574,894,19.31719965,696,1343,724,539,16.32344034,,3302,36.6,-88.8
32066,7119,33.5,41509,18820,1270,17.83958421,1020,1725,1121,754,16.32034632,,4620,30,-83.2
27869,2251,47.6,27337,13226,820,36.42825411,457,645,226,259,16.32010082,,1587,36.3,-77.3
66754,428,49.8,47353,21161,15,3.504672897,29,129,83,47,16.31944444,,288,38,-94.9
15729,1699,42.8,43657,19777,198,11.65391407,134,688,137,187,16.31762653,,1146,40.7,-78.91
28436,2170,37.9,45417,22077,285,13.13364055,208,646,341,233,16.31652661,,1428,34.28,-78.28
68761,452,45.5,38417,23642,76,16.81415929,47,144,86,54,16.3141994,,331,42.1,-98
33935,18303,35.3,35949,17346,4894,26.73878599,3820,3921,2181,1934,16.31241565,,11856,26.7,-81.4
39108,1844,44.3,31538,17219,411,22.28850325,348,513,278,222,16.31153564,,1361,33.1,-89.4
37807,9388,40,32756,16097,2296,24.4567533,1842,2825,669,1040,16.31116688,,6376,36.3,-83.8
74557,502,48.4,43571,19749,74,14.74103586,86,134,93,61,16.31016043,,374,34.4,-95.7
18081,270,51.8,45068,19769,13,4.814814815,82,13,100,38,16.30901288,,233,40.59,-75.3
45696,1353,34.6,57237,19430,227,16.77753141,192,445,133,150,16.30434783,,920,38.6,-82.4
66870,115,61.6,30114,23016,11,9.565217391,14,47,16,15,16.30434783,,92,37.9,-96
88314,184,68.1,28173,20277,20,10.86956522,47,58,49,30,16.30434783,,184,33.2,-105.9
95493,291,62,55104,27732,89,30.58419244,23,93,115,45,16.30434783,,276,39.2,-122.99
95939,488,44.2,29861,13580,156,31.96721311,82,122,104,60,16.30434783,,368,39.5,-122.6
32702,2448,52.8,33750,39101,502,20.50653595,509,867,380,342,16.30123928,,2098,29.1,-81.6
38008,9431,41.2,29201,16256,2559,27.13392005,1576,2612,1265,1062,16.30084421,,6515,35.2,-89
17082,3302,45.1,46645,22334,431,13.05269534,322,1308,352,386,16.30067568,,2368,40.5,-77.4
55716,342,36.5,34792,18283,64,18.71345029,26,91,73,37,16.29955947,,227,47.32,-93.27
30734,3436,42.1,34263,19394,1162,33.81839348,755,923,335,392,16.2993763,,2405,34.5,-84.7
74960,13339,36,29786,14559,3766,28.23300097,1809,3405,1842,1374,16.29893238,,8430,35.8,-94.7
19139,43181,32.1,24627,14663,15780,36.5438503,5241,10276,6196,4228,16.29852357,,25941,39.96,-75.23
75941,10388,35.3,45979,16107,1709,16.45167501,1626,2221,1751,1090,16.29784689,,6688,31.2,-94.8
48416,4986,38.6,43397,20143,730,14.64099479,498,1499,725,530,16.29766298,,3252,43.2,-83
28159,3169,39.1,36197,15516,1070,33.76459451,370,725,595,329,16.29519564,,2019,35.69,-80.43
22437,964,46.8,48750,22098,56,5.809128631,263,235,98,116,16.29213483,,712,37.77,-76.82
64635,590,33.5,45500,18400,104,17.62711864,43,150,105,58,16.29213483,,356,39.9,-93.5
59760,348,38.7,39792,17036,108,31.03448276,26,95,64,36,16.28959276,,221,45.9,-111.5
37336,4864,44.4,48066,22370,718,14.76151316,618,1411,854,561,16.28919861,,3444,35.29,-84.93
93283,2319,57.1,24821,18616,581,25.05390254,360,735,488,308,16.28767848,,1891,35.5,-118.2
52237,1337,42.2,52708,23067,134,10.02243829,80,446,209,143,16.28701595,,878,42.4,-91.3
28740,1803,41.8,31699,15406,470,26.067665,299,603,162,207,16.28638867,,1271,36,-82.3
30731,2220,40,36439,18011,459,20.67567568,365,592,359,256,16.28498728,,1572,34.6,-85.5
36916,656,40.9,41944,20622,140,21.34146341,96,194,75,71,16.28440367,,436,32.19,-88.08
21632,5588,42.2,42683,22557,1282,22.94201861,670,1811,686,616,16.28337298,,3783,38.7,-75.8
